Weekly U.S. Ending Stocks excluding SPR of Crude Oil,
10/26/2001,291538
10/19/2001,289082
10/12/2001,286259
10/5/2001,290699
9/28/2001,290827
9/21/2001,289215
9/14/2001,286029
9/7/2001,286655
8/31/2001,285694
8/24/2001,287648
8/17/2001,284951
8/10/2001,288954
8/3/2001,291804
7/27/2001,298463
7/20/2001,299513
7/13/2001,298133
7/6/2001,291112
6/29/2001,294220
6/22/2001,298973
6/15/2001,298981
6/8/2001,299709
6/1/2001,307913
5/25/2001,306411
5/18/2001,308153
5/11/2001,304811
5/4/2001,302335
4/27/2001,301717
4/20/2001,295392
4/13/2001,296817
4/6/2001,290606
3/30/2001,286795
3/23/2001,285110
3/16/2001,273922
3/9/2001,268920
3/2/2001,260949
2/23/2001,263661
2/16/2001,260782
2/9/2001,272662
2/2/2001,269298
1/26/2001,266382
1/19/2001,269952
1/12/2001,271062
1/5/2001,272072
12/29/2000,272771
12/22/2000,274608
12/15/2000,275859
12/8/2000,272826
12/1/2000,276195
11/24/2000,274177
11/17/2000,274255
11/10/2000,268091
11/3/2000,266594
10/27/2000,268151
10/20/2000,269640
10/13/2000,267235
10/6/2000,271752
9/29/2000,270873
9/22/2000,269781
9/15/2000,270282
9/8/2000,272764
9/1/2000,273691
8/25/2000,270948
8/18/2000,268901
8/11/2000,273059
8/4/2000,269659
7/28/2000,268121
7/21/2000,278674
7/14/2000,278400
7/7/2000,278885
6/30/2000,277611
6/23/2000,279405
6/16/2000,279078
6/9/2000,283639
6/2/2000,285075
5/26/2000,289205
5/19/2000,293806
5/12/2000,292857
5/5/2000,292607
4/28/2000,288071
4/21/2000,291335
4/14/2000,286265
4/7/2000,280771
3/31/2000,277924
3/24/2000,276422
3/17/2000,276572
3/10/2000,274933
3/3/2000,274502
2/25/2000,269816
2/18/2000,269487
2/11/2000,269796
2/4/2000,269982
1/28/2000,266614
1/21/2000,275032
1/14/2000,277464
1/7/2000,277549
12/31/1999,274626
12/24/1999,276345
12/17/1999,276646
12/10/1999,277477
12/3/1999,283063
11/26/1999,283338
11/19/1999,287692
11/12/1999,290755
11/5/1999,288955
10/29/1999,288599
10/22/1999,284878
10/15/1999,284609
10/8/1999,281186
10/1/1999,288395
9/24/1999,288862
9/17/1999,293119
9/10/1999,292930
9/3/1999,297212
8/27/1999,301653
8/20/1999,301091
8/13/1999,305616
8/6/1999,307249
7/30/1999,309516
7/23/1999,312916
7/16/1999,318092
7/9/1999,317718
7/2/1999,314030
6/25/1999,314225
6/18/1999,315949
6/11/1999,318672
6/4/1999,316858
5/28/1999,314722
5/21/1999,315769
5/14/1999,318092
5/7/1999,317539
4/30/1999,320145
4/23/1999,322286
4/16/1999,325729
4/9/1999,328885
4/2/1999,326768
3/26/1999,328539
3/19/1999,324736
3/12/1999,321929
3/5/1999,318266
2/26/1999,315274
2/19/1999,318431
2/12/1999,315393
2/5/1999,317131
1/29/1999,316730
1/22/1999,314148
1/15/1999,310975
1/8/1999,308268
1/1/1999,305728
12/25/1998,320706
12/18/1998,323364
12/11/1998,321884
12/4/1998,318465
11/27/1998,319986
11/20/1998,325554
11/13/1998,320397
11/6/1998,322932
10/30/1998,323739
10/23/1998,319964
10/16/1998,316227
10/9/1998,312682
10/2/1998,305893
9/25/1998,303433
9/18/1998,300336
9/11/1998,309675
9/4/1998,312057
8/28/1998,320694
8/21/1998,321012
8/14/1998,327887
8/7/1998,328423
7/31/1998,327478
7/24/1998,326795
7/17/1998,322966
7/10/1998,317425
7/3/1998,324057
6/26/1998,326843
6/19/1998,325182
6/12/1998,326836
6/5/1998,329534
5/29/1998,330394
5/22/1998,334682
5/15/1998,337928
5/8/1998,326705
5/1/1998,327368
4/24/1998,325209
4/17/1998,324906
4/10/1998,319899
4/3/1998,314569
3/27/1998,313200
3/20/1998,311606
3/13/1998,305137
3/6/1998,307194
2/27/1998,307969
2/20/1998,309568
2/13/1998,306685
2/6/1998,304983
1/30/1998,304961
1/23/1998,305583
1/16/1998,299897
1/9/1998,288685
1/2/1998,289764
12/26/1997,296230
12/19/1997,299482
12/12/1997,303451
12/5/1997,300911
11/28/1997,305669
11/21/1997,302849
11/14/1997,299075
11/7/1997,293789
10/31/1997,295098
10/24/1997,289079
10/17/1997,284474
10/10/1997,287772
10/3/1997,289944
9/26/1997,285157
9/19/1997,283839
9/12/1997,287722
9/5/1997,283928
8/29/1997,290026
8/22/1997,291628
8/15/1997,296882
8/8/1997,296258
8/1/1997,291120
7/25/1997,291884
7/18/1997,301774
7/11/1997,303759
7/4/1997,306218
6/27/1997,301399
6/20/1997,307126
6/13/1997,307589
6/6/1997,308845
5/30/1997,309261
5/23/1997,305059
5/16/1997,301845
5/9/1997,307280
5/2/1997,300885
4/25/1997,300941
4/18/1997,298115
4/11/1997,296665
4/4/1997,294041
3/28/1997,293843
3/21/1997,287497
3/14/1997,288585
3/7/1997,288475
2/28/1997,283145
2/21/1997,288568
2/14/1997,288732
2/7/1997,284247
1/31/1997,280898
1/24/1997,274863
1/17/1997,271491
1/10/1997,272956
1/3/1997,267904
12/27/1996,276127
12/20/1996,273685
12/13/1996,279788
12/6/1996,282735
11/29/1996,283728
11/22/1996,283501
11/15/1996,288297
11/8/1996,290762
11/1/1996,295892
10/25/1996,285642
10/18/1996,288701
10/11/1996,282960
10/4/1996,286261
9/27/1996,286638
9/20/1996,291751
9/13/1996,290575
9/6/1996,292562
8/30/1996,295650
8/23/1996,300715
8/16/1996,291014
8/9/1996,289134
8/2/1996,290295
7/26/1996,292972
7/19/1996,291857
7/12/1996,295695
7/5/1996,298222
6/28/1996,296562
6/21/1996,289709
6/14/1996,288853
6/7/1996,291863
5/31/1996,293515
5/24/1996,281578
5/17/1996,280450
5/10/1996,284902
5/3/1996,286604
4/26/1996,279424
4/19/1996,279794
4/12/1996,283823
4/5/1996,282424
3/29/1996,280124
3/22/1996,282187
3/15/1996,283404
3/8/1996,288673
3/1/1996,280448
2/23/1996,283723
2/16/1996,283380
2/9/1996,286440
2/2/1996,288674
1/26/1996,291084
1/19/1996,292829
1/12/1996,288551
1/5/1996,285623
12/29/1995,284591
12/22/1995,294817
12/15/1995,300674
12/8/1995,294812
12/1/1995,299072
11/24/1995,302184
11/17/1995,296105
11/10/1995,286496
11/3/1995,288122
10/27/1995,284831
10/20/1995,283307
10/13/1995,281131
10/6/1995,281156
9/29/1995,285540
9/22/1995,290595
9/15/1995,291145
9/8/1995,292052
9/1/1995,296654
8/25/1995,289233
8/18/1995,286280
8/11/1995,293670
8/4/1995,291165
7/28/1995,298034
7/21/1995,295085
7/14/1995,301968
7/7/1995,301985
6/30/1995,303160
6/23/1995,299434
6/16/1995,306901
6/9/1995,307390
6/2/1995,307943
5/26/1995,310099
5/19/1995,313118
5/12/1995,317267
5/5/1995,316444
4/28/1995,318365
4/21/1995,322472
4/14/1995,319450
4/7/1995,318266
3/31/1995,321069
3/24/1995,313308
3/17/1995,309258
3/10/1995,308719
3/3/1995,308234
2/24/1995,305268
2/17/1995,310839
2/10/1995,303476
2/3/1995,309810
1/27/1995,306583
1/20/1995,306864
1/13/1995,313278
1/6/1995,314560
12/30/1994,312846
12/23/1994,320236
12/16/1994,319550
12/9/1994,320205
12/2/1994,321693
11/25/1994,321739
11/18/1994,324211
11/11/1994,327189
11/4/1994,327917
10/28/1994,328905
10/21/1994,319570
10/14/1994,321399
10/7/1994,316959
9/30/1994,317891
9/23/1994,314620
9/16/1994,308725
9/9/1994,307270
9/2/1994,307532
8/26/1994,307717
8/19/1994,310161
8/12/1994,312998
8/5/1994,309883
7/29/1994,312403
7/22/1994,318255
7/15/1994,314998
7/8/1994,311816
7/1/1994,311642
6/24/1994,310699
6/17/1994,307220
6/10/1994,308787
6/3/1994,311596
5/27/1994,316080
5/20/1994,317174
5/13/1994,315520
5/6/1994,316458
4/29/1994,322151
4/22/1994,321241
4/15/1994,321163
4/8/1994,319232
4/1/1994,318717
3/25/1994,318641
3/18/1994,323772
3/11/1994,311869
3/4/1994,316945
2/25/1994,309328
2/18/1994,316510
2/11/1994,313482
2/4/1994,317837
1/28/1994,314011
1/21/1994,310921
1/14/1994,316399
1/7/1994,316593
12/31/1993,323542
12/24/1993,330079
12/17/1993,330247
12/10/1993,327837
12/3/1993,321509
11/26/1993,316131
11/19/1993,314738
11/12/1993,320250
11/5/1993,315239
10/29/1993,318584
10/22/1993,316800
10/15/1993,309375
10/8/1993,314249
10/1/1993,309991
9/24/1993,312084
9/17/1993,321610
9/10/1993,321821
9/3/1993,320499
8/27/1993,326782
8/20/1993,325426
8/13/1993,330153
8/6/1993,334659
7/30/1993,333639
7/23/1993,338056
7/16/1993,343583
7/9/1993,335417
7/2/1993,331995
6/25/1993,340315
6/18/1993,334025
6/11/1993,324772
6/4/1993,332686
5/28/1993,334383
5/21/1993,338201
5/14/1993,335087
5/7/1993,329635
4/30/1993,328945
4/23/1993,326248
4/16/1993,325153
4/9/1993,334413
4/2/1993,322889
3/26/1993,322220
3/19/1993,314322
3/12/1993,327504
3/5/1993,321897
2/26/1993,315969
2/19/1993,308086
2/12/1993,318408
2/5/1993,311717
1/29/1993,308108
1/22/1993,306106
1/15/1993,307272
1/8/1993,299341
1/1/1993,301973
12/25/1992,301053
12/18/1992,312842
12/11/1992,313161
12/4/1992,307589
11/27/1992,308640
11/20/1992,307093
11/13/1992,301537
11/6/1992,308578
10/30/1992,314967
10/23/1992,311561
10/16/1992,310536
10/9/1992,308292
10/2/1992,309071
9/25/1992,306213
9/18/1992,310947
9/11/1992,310111
9/4/1992,310794
8/28/1992,308645
8/21/1992,316097
8/14/1992,311493
8/7/1992,312486
7/31/1992,314258
7/24/1992,308467
7/17/1992,308493
7/10/1992,314858
7/3/1992,312195
6/26/1992,313189
6/19/1992,324093
6/12/1992,330394
6/5/1992,329598
5/29/1992,328776
5/22/1992,331422
5/15/1992,336011
5/8/1992,334716
5/1/1992,335376
4/24/1992,333922
4/17/1992,333120
4/10/1992,330314
4/3/1992,321859
3/27/1992,325460
3/20/1992,330980
3/13/1992,327449
3/6/1992,332894
2/28/1992,326596
2/21/1992,319575
2/14/1992,316400
2/7/1992,318207
1/31/1992,318393
1/24/1992,322809
1/17/1992,317138
1/10/1992,318314
1/3/1992,314823
12/27/1991,308857
12/20/1991,318937
12/13/1991,323089
12/6/1991,329127
11/29/1991,324131
11/22/1991,329588
11/15/1991,335596
11/8/1991,330460
11/1/1991,326645
10/25/1991,332763
10/18/1991,323942
10/11/1991,326402
10/4/1991,323069
9/27/1991,324157
9/20/1991,319450
9/13/1991,319319
9/6/1991,325886
8/30/1991,335646
8/23/1991,333744
8/16/1991,328440
8/9/1991,330373
8/2/1991,328659
7/26/1991,327970
7/19/1991,331739
7/12/1991,333524
7/5/1991,334579
6/28/1991,333376
6/21/1991,336429
6/14/1991,337807
6/7/1991,337008
5/31/1991,336202
5/24/1991,329325
5/17/1991,329898
5/10/1991,323906
5/3/1991,324141
4/26/1991,328220
4/19/1991,322676
4/12/1991,325762
4/5/1991,321264
3/29/1991,326275
3/22/1991,321538
3/15/1991,320665
3/8/1991,314290
3/1/1991,315962
2/22/1991,316183
2/15/1991,317278
2/8/1991,311359
2/1/1991,310149
1/25/1991,307043
1/18/1991,307051
1/11/1991,308440
1/4/1991,307542
12/28/1990,315920
12/21/1990,321992
12/14/1990,320154
12/7/1990,321412
11/30/1990,326855
11/23/1990,324268
11/16/1990,327293
11/9/1990,333036
11/2/1990,331392
10/26/1990,327234
10/19/1990,325992
10/12/1990,328752
10/5/1990,336271
9/28/1990,338384
9/21/1990,348211
9/14/1990,353936
9/7/1990,359583
8/31/1990,356710
8/24/1990,361957
8/17/1990,360333
8/10/1990,360003
8/3/1990,364848
7/27/1990,372593
7/20/1990,368024
7/13/1990,370201
7/6/1990,365658
6/29/1990,368708
6/22/1990,367704
6/15/1990,367001
6/8/1990,367486
6/1/1990,365618
5/25/1990,362719
5/18/1990,361994
5/11/1990,358198
5/4/1990,353485
4/27/1990,353507
4/20/1990,349299
4/13/1990,350859
4/6/1990,349942
3/30/1990,342865
3/23/1990,339931
3/16/1990,330696
3/9/1990,332142
3/2/1990,325816
2/23/1990,322293
2/16/1990,326869
2/9/1990,329316
2/2/1990,334128
1/26/1990,324123
1/19/1990,326173
1/12/1990,327819
1/5/1990,324222
12/29/1989,324280
12/22/1989,325360
12/15/1989,328006
12/8/1989,323052
12/1/1989,332385
11/24/1989,324125
11/17/1989,327780
11/10/1989,327954
11/3/1989,320398
10/27/1989,322286
10/20/1989,317150
10/13/1989,323920
10/6/1989,318394
9/29/1989,313121
9/22/1989,310542
9/15/1989,309387
9/8/1989,320241
9/1/1989,317963
8/25/1989,318038
8/18/1989,319131
8/11/1989,310165
8/4/1989,313202
7/28/1989,313680
7/21/1989,312422
7/14/1989,313424
7/7/1989,315749
6/30/1989,315455
6/23/1989,322738
6/16/1989,319223
6/9/1989,321641
6/2/1989,324887
5/26/1989,320489
5/19/1989,322400
5/12/1989,328885
5/5/1989,327039
4/28/1989,316567
4/21/1989,312478
4/14/1989,302086
4/7/1989,306513
3/31/1989,307789
3/24/1989,317835
3/17/1989,318360
3/10/1989,313828
3/3/1989,315037
2/24/1989,305255
2/17/1989,306065
2/10/1989,305217
2/3/1989,313945
1/27/1989,307008
1/20/1989,306513
1/13/1989,302665
1/6/1989,305576
12/30/1988,313654
12/23/1988,314765
12/16/1988,318990
12/9/1988,324248
12/2/1988,319749
11/25/1988,322409
11/18/1988,326823
11/11/1988,318675
11/4/1988,322097
10/28/1988,316401
10/21/1988,315085
10/14/1988,310447
10/7/1988,305450
9/30/1988,306036
9/23/1988,300430
9/16/1988,305143
9/9/1988,311683
9/2/1988,313544
8/26/1988,318511
8/19/1988,323205
8/12/1988,327971
8/5/1988,330335
7/29/1988,332365
7/22/1988,330751
7/15/1988,334259
7/8/1988,339783
7/1/1988,342310
6/24/1988,341838
6/17/1988,344567
6/10/1988,340370
6/3/1988,343019
5/27/1988,341208
5/20/1988,345463
5/13/1988,343544
5/6/1988,340335
4/29/1988,335042
4/22/1988,338077
4/15/1988,333296
4/8/1988,333705
4/1/1988,328537
3/25/1988,327289
3/18/1988,328937
3/11/1988,325188
3/4/1988,325274
2/26/1988,324061
2/19/1988,320876
2/12/1988,312386
2/5/1988,317127
1/29/1988,316008
1/22/1988,319760
1/15/1988,320568
1/8/1988,320851
1/1/1988,333655
12/25/1987,339178
12/18/1987,340670
12/11/1987,338654
12/4/1987,337304
11/27/1987,335814
11/20/1987,338198
11/13/1987,335157
11/6/1987,333255
10/30/1987,328896
10/23/1987,316857
10/16/1987,313755
10/9/1987,310961
10/2/1987,314186
9/25/1987,316043
9/18/1987,312588
9/11/1987,312686
9/4/1987,313494
8/28/1987,309451
8/21/1987,309220
8/14/1987,302412
8/7/1987,300958
7/31/1987,307077
7/24/1987,301702
7/17/1987,298706
7/10/1987,302862
7/3/1987,304943
6/26/1987,304454
6/19/1987,301883
6/12/1987,301345
6/5/1987,300954
5/29/1987,299567
5/22/1987,303381
5/15/1987,300278
5/8/1987,302611
5/1/1987,307567
4/24/1987,298167
4/17/1987,299466
4/10/1987,308491
4/3/1987,314031
3/27/1987,308038
3/20/1987,313392
3/13/1987,305895
3/6/1987,310363
2/27/1987,311491
2/20/1987,308205
2/13/1987,307917
2/6/1987,308479
1/30/1987,309455
1/23/1987,304234
1/16/1987,307260
1/9/1987,316926
1/2/1987,307823
12/26/1986,306597
12/19/1986,317982
12/12/1986,321059
12/5/1986,317980
11/28/1986,321037
11/21/1986,318454
11/14/1986,319679
11/7/1986,315272
10/31/1986,327758
10/24/1986,318425
10/17/1986,320001
10/10/1986,313010
10/3/1986,315751
9/26/1986,313278
9/19/1986,307280
9/12/1986,310490
9/5/1986,306246
8/29/1986,310955
8/22/1986,308755
8/15/1986,310871
8/8/1986,312924
8/1/1986,320012
7/25/1986,310051
7/18/1986,307065
7/11/1986,298871
7/4/1986,299341
6/27/1986,303908
6/20/1986,302543
6/13/1986,299249
6/6/1986,310824
5/30/1986,305568
5/23/1986,308590
5/16/1986,303348
5/9/1986,311336
5/2/1986,317285
4/25/1986,311499
4/18/1986,317219
4/11/1986,319613
4/4/1986,316315
3/28/1986,323395
3/21/1986,314941
3/14/1986,312567
3/7/1986,313853
2/28/1986,310183
2/21/1986,300623
2/14/1986,306754
2/7/1986,311382
1/31/1986,302996
1/24/1986,305632
1/17/1986,297979
1/10/1986,299779
1/3/1986,305147
12/27/1985,298551
12/20/1985,300234
12/13/1985,296771
12/6/1985,300376
11/29/1985,294140
11/22/1985,291676
11/15/1985,288284
11/8/1985,290134
11/1/1985,290776
10/25/1985,298122
10/18/1985,294952
10/11/1985,302337
10/4/1985,294662
9/27/1985,291175
9/20/1985,289541
9/13/1985,294828
9/6/1985,294402
8/30/1985,299740
8/23/1985,294068
8/16/1985,304954
8/9/1985,307275
8/2/1985,302128
7/26/1985,307219
7/19/1985,313728
7/12/1985,314931
7/5/1985,320782
6/28/1985,323682
6/21/1985,330077
6/14/1985,331306
6/7/1985,330564
5/31/1985,333399
5/24/1985,333896
5/17/1985,328263
5/10/1985,327605
5/3/1985,330347
4/26/1985,322205
4/19/1985,309715
4/12/1985,304744
4/5/1985,302000
3/29/1985,313149
3/22/1985,310423
3/15/1985,307344
3/8/1985,303198
3/1/1985,298757
2/22/1985,295928
2/15/1985,298076
2/8/1985,305989
2/1/1985,309460
1/25/1985,317918
1/18/1985,326508
1/11/1985,324107
1/4/1985,319923
12/28/1984,322281
12/21/1984,320537
12/14/1984,331783
12/7/1984,322292
11/30/1984,325608
11/23/1984,332639
11/16/1984,334201
11/9/1984,325115
11/2/1984,314922
10/26/1984,320900
10/19/1984,315273
10/12/1984,318610
10/5/1984,311211
9/28/1984,308426
9/21/1984,306957
9/14/1984,318007
9/7/1984,318672
8/31/1984,321597
8/24/1984,326092
8/17/1984,323344
8/10/1984,333554
8/3/1984,332398
7/27/1984,331607
7/20/1984,339830
7/13/1984,333149
7/6/1984,330378
6/29/1984,335999
6/22/1984,331714
6/15/1984,338234
6/8/1984,342189
6/1/1984,339659
5/25/1984,332465
5/18/1984,340510
5/11/1984,332296
5/4/1984,326633
4/27/1984,319724
4/20/1984,323505
4/13/1984,324087
4/6/1984,320689
3/30/1984,310506
3/23/1984,309072
3/16/1984,312445
3/9/1984,313132
3/2/1984,317746
2/24/1984,317999
2/17/1984,322097
2/10/1984,320037
2/3/1984,320842
1/27/1984,324301
1/20/1984,327811
1/13/1984,331804
1/6/1984,328070
12/30/1983,327028
12/23/1983,326469
12/16/1983,330911
12/9/1983,332192
12/2/1983,326264
11/25/1983,330704
11/18/1983,334859
11/11/1983,339341
11/4/1983,335837
10/28/1983,324210
10/21/1983,331681
10/14/1983,334292
10/7/1983,331723
9/30/1983,329028
9/23/1983,328203
9/16/1983,328092
9/9/1983,326370
9/2/1983,328895
8/26/1983,325015
8/19/1983,320879
8/12/1983,314861
8/5/1983,322642
7/29/1983,326267
7/22/1983,323643
7/15/1983,324265
7/8/1983,326776
7/1/1983,333387
6/24/1983,331611
6/17/1983,332713
6/10/1983,333407
6/3/1983,334607
5/20/1983,345545
5/13/1983,342703
4/29/1983,342707
4/15/1983,340539
4/8/1983,335263
4/1/1983,331215
3/25/1983,337155
3/18/1983,335901
3/11/1983,341753
3/4/1983,339216
2/25/1983,349452
2/18/1983,342040
2/11/1983,338719
2/4/1983,332527
1/28/1983,339617
1/21/1983,334178
1/14/1983,339028
1/7/1983,326701
12/31/1982,330150
12/24/1982,335061
12/17/1982,338912
12/10/1982,337943
12/3/1982,332447
11/26/1982,325639
11/19/1982,331264
11/12/1982,323448
11/5/1982,331057
10/29/1982,333067
10/22/1982,334370
10/15/1982,326979
10/8/1982,335260
10/1/1982,334786
9/24/1982,335586
8/27/1982,336138
8/20/1982,338764
